Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,sex,SRA Study,strain,host,bioproject_id,Description,sample_title,biotic_relationship,replicate
DRR029433,RNA-Seq,202,9740523628,PRJDB3457,SAMD00024932,6015442140,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st stage larvae,DRX026493,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019559,SvL1,mix,DRP002634,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis 1st stage larvae,S.venezuelensis_L1,,
DRR029434,RNA-Seq,202,6404337482,PRJDB3457,SAMD00024932,3791411031,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st stage larvae,DRX026494,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019559,SvL1,mix,DRP002634,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis 1st stage larvae,S.venezuelensis_L1,,
DRR029435,RNA-Seq,202,9992095438,PRJDB3457,SAMD00024935,6175532991,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3st stage infective larvae,DRX026495,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019557,SviL3,female,DRP002632,HH1,,PRJDB3457,Strongyloides venezuelensis 3rd stage infective larvae,S.venezuelensis_iL3,,
DRR029436,RNA-Seq,202,4702786846,PRJDB3457,SAMD00024935,2744178187,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3st stage infective larvae,DRX026496,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019557,SviL3,female,DRP002632,HH1,,PRJDB3457,Strongyloides venezuelensis 3rd stage infective larvae,S.venezuelensis_iL3,,
DRR029437,RNA-Seq,202,9144401832,PRJDB3457,SAMD00024933,5641673572,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3st stage larvae in lung,DRX026497,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019599,SvL3lung,female,DRP002639,HH1,Mus musculus,PRJDB3457,Strongyloides venezuelensis 3rd stage larvae in lung,S.venezuelensis_L3lung,,
DRR029438,RNA-Seq,202,3711262978,PRJDB3457,SAMD00024933,2150951649,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3st stage larvae in lung,DRX026498,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019599,SvL3lung,female,DRP002639,HH1,Mus musculus,PRJDB3457,Strongyloides venezuelensis 3rd stage larvae in lung,S.venezuelensis_L3lung,,
DRR029439,RNA-Seq,202,8747297102,PRJDB3457,SAMD00024934,5370153220,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",young adult female,DRX026499,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019561,SvYAF,female,DRP002636,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis young adult females,S.venezuelensis_YoungAdult,,
DRR029440,RNA-Seq,202,4784200724,PRJDB3457,SAMD00024934,2768158304,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",young adult female,DRX026500,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019561,SvYAF,female,DRP002636,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis young adult females,S.venezuelensis_YoungAdult,,
DRR029441,RNA-Seq,202,10883623246,PRJDB3457,SAMD00024930,6754221540,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult female,DRX026501,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019530,SvAF,female,DRP002629,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis adult females,S.venezuelensis_Adult,,
DRR029442,RNA-Seq,202,4484826624,PRJDB3457,SAMD00024930,2623093390,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult female,DRX026502,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019530,SvAF,female,DRP002629,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis adult females,S.venezuelensis_Adult,,
DRR029443,RNA-Seq,202,9484330664,PRJDB3457,SAMD00024936,5843368867,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",induced 3rd stage infective larvae 1day,DRX026503,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019562,SviL3_1d,female,DRP002637,HH1,,PRJDB3457,Strongyloides venezuelensis 3rd stage infective larvae induced invitro (1day),S.venezuelensis_iL3induced1day,,
DRR029444,RNA-Seq,202,7762833740,PRJDB3457,SAMD00024937,4792084214,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",induced 3rd stage infective larvae 5day,DRX026504,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019558,SviL3_5d,female,DRP002633,HH1,,PRJDB3457,Strongyloides venezuelensis 3rd stage infective larvae induced in vitoro (5day),S.venezuelensis_iL3induced5day,,
DRR029445,RNA-Seq,202,6026968354,PRJDB3457,SAMD00024931,3485957516,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",egg,DRX026505,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2015-05-01T00:00:00Z,DRS019560,SvEgg,mix,DRP002635,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis Eggs,S.venezuelensis_Egg,,
DRR029282,RNA-Seq,202,7639514760,PRJDB3457,SAMD00024931,4730590553,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",egg,DRX026342,Illumina HiSeq 2000,,PAIRED,RANDOM,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2016-05-08T00:00:00Z,DRS019560,SvEgg,mix,DRP002629,HH1,Rattus norvegicus,PRJDB3457,Strongyloides venezuelensis Eggs,S.venezuelensis_Egg,,
DRR106346,RNA-Seq,300,5422588800,PRJDB3457,SAMD00096905,3457258771,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",free-living adult,DRX099447,Illumina MiSeq,SvFFWTA1,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096905,N703_SvFFWTA1,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 1
DRR106347,RNA-Seq,300,5537360100,PRJDB3457,SAMD00096905,3493727295,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",free-living adult,DRX099447,Illumina MiSeq,SvFFWTA1,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096905,N703_SvFFWTA1,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 1
DRR106348,RNA-Seq,300,5591790300,PRJDB3457,SAMD00096906,3431321034,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",free-living adult,DRX099448,Illumina MiSeq,SvFFWTA2,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096906,N704_SvFFWTA2,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 2
DRR106349,RNA-Seq,300,5717313300,PRJDB3457,SAMD00096906,3463640394,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",free-living adult,DRX099448,Illumina MiSeq,SvFFWTA2,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096906,N704_SvFFWTA2,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 2
DRR106350,RNA-Seq,300,3915915900,PRJDB3457,SAMD00096907,2422579923,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",free-living adult,DRX099449,Illumina MiSeq,SvFFWTA3,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096907,N705_SvFFWTA3,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 3
DRR106351,RNA-Seq,300,4009223700,PRJDB3457,SAMD00096907,2449117284,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",free-living adult,DRX099449,Illumina MiSeq,SvFFWTA3,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096907,N705_SvFFWTA3,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 3
DRR106352,RNA-Seq,300,5360814900,PRJDB3457,SAMD00096908,3371355325,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",parasitic adult,DRX099450,Illumina MiSeq,SvPFWTA1,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096908,N706_SvPFWTA1,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 1
DRR106353,RNA-Seq,300,5460815700,PRJDB3457,SAMD00096908,3394407218,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",parasitic adult,DRX099450,Illumina MiSeq,SvPFWTA1,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096908,N706_SvPFWTA1,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 1
DRR106354,RNA-Seq,300,4443784200,PRJDB3457,SAMD00096909,2813562712,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",parasitic adult,DRX099451,Illumina MiSeq,SvPFWTA2,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096909,N707_SvPFWTA2,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 2
DRR106355,RNA-Seq,300,4541997900,PRJDB3457,SAMD00096909,2842776067,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",parasitic adult,DRX099451,Illumina MiSeq,SvPFWTA2,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096909,N707_SvPFWTA2,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 2
DRR106356,RNA-Seq,300,4735392300,PRJDB3457,SAMD00096910,3033850153,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",parasitic adult,DRX099452,Illumina MiSeq,SvPFWTA3,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096910,N708_SvPFWTA3,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 3
DRR106357,RNA-Seq,300,4818647100,PRJDB3457,SAMD00096910,3053585186,MIYAZAKI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",parasitic adult,DRX099452,Illumina MiSeq,SvPFWTA3,PAIRED,cDNA,TRANSCRIPTOMIC,Strongyloides venezuelensis,ILLUMINA,2019-09-26T00:00:00Z,SAMD00096910,N708_SvPFWTA3,female,DRP002629,HH1,Rattus norvegicus,,,,parasite,biological replicate 3